beta_b,beta_w,botnet
0.4,2.6,0.5307736842105263
0.4,2.7,0.5583333333333332
0.4,2.8,0.5605589743589743
0.4,2.9,0.5243235294117647
0.4,3.0,0.5740904761904763
0.4,3.1,0.4870074074074075
0.4,3.2,0.440855
0.4,3.3,0.46480468750000004
0.4,3.4,0.40966379310344836
0.4,3.5,0.44930508474576264
0.4,3.6,0.4406444444444444
0.4,3.7,0.4540380952380952
0.4,3.8,0.4360743589743589
0.4,3.9,0.3934981818181818
0.4,4.0,0.3754642857142857
0.4,4.1,0.3178666666666667
0.4,4.2,0.32204318181818176
0.4,4.3,0.2992714285714285
0.4,4.4,0.30992051282051286
0.4,4.5,0.23544693877551023
0.4,4.6,0.27541639344262303
0.4,4.7,0.2174125
0.4,4.8,0.1928422222222222
0.4,4.9,0.20987441860465111
0.4,5.0,0.23035
0.4,5.1,0.2214027027027027
0.4,5.2,0.18853809523809525
0.4,5.3,0.178382
0.4,5.4,0.16448717948717947
0.4,5.5,0.17527435897435897
0.4,5.6,0.148765
0.4,5.7,0.13851914893617023
0.4,5.8,0.1579177777777778
0.4,5.9,0.1153865671641791
0.4,6.0,0.10668947368421051
0.4,6.1,0.10296078431372548
0.4,6.2,0.1167373134328358
0.4,6.3,0.08557708333333332
0.4,6.4,0.09574523809523809
0.4,6.5,0.08372916666666667
0.4,6.6,0.06833275862068965
0.4,6.7,0.06341323529411767
0.4,6.8,0.05235641025641026
0.4,6.9,0.07481600000000001
0.4,7.0,0.0342375
0.4,7.1,0.09892708333333333
0.4,7.2,0.039341509433962266
0.4,7.3,0.042845161290322585
0.4,7.4,0.02829
0.4,7.5,0.023749090909090907
0.4,7.6,0.022098591549295776
0.4,7.7,0.029383673469387753
0.4,7.8,0.0217
0.4,7.9,0.013601923076923076
0.4,8.0,0.01949152542372881
0.4,8.1,0.013589285714285717
0.4,8.2,0.008292222222222222
0.4,8.3,0.02077
0.4,8.4,0.0105171875
0.4,8.5,0.01474027777777778
0.4,8.6,0.013305970149253731
0.4,8.7,0.0034972222222222227
0.4,8.8,0.014364912280701756
0.4,8.9,0.004492857142857143
0.4,9.0,0.015912280701754388
0.4,9.1,0.005006153846153847
0.4,9.2,0.006157575757575758
0.4,9.3,0.0033910447761194033
0.4,9.4,0.0029212499999999994
0.4,9.5,0.008244444444444445
0.4,9.6,0.0033375
0.4,9.7,0.002528169014084507
0.4,9.8,0.0026383561643835616
0.4,9.9,0.0013897727272727273
0.4,10.0,0.001468571428571429
0.5,0.1,1.0
0.5,0.2,1.0
0.5,0.3,1.0
0.5,0.4,1.0
0.5,0.5,1.0
0.5,0.6,1.0
0.5,0.7,1.0
0.5,0.8,0.986
0.5,0.9,0.95645
0.5,1.0,0.9627499999999999
0.5,1.1,0.9241
0.5,1.2,0.9139333333333334
0.5,1.3,0.9029999999999999
0.5,1.4,0.8612
0.5,1.5,0.8514857142857143
0.5,1.6,0.8003916666666667
0.5,1.7,0.7998083333333333
0.5,1.8,0.7690619047619046
0.5,1.9,0.7620285714285714
0.5,2.0,0.7405066666666666
0.5,2.1,0.6961666666666666
0.5,2.2,0.6615947368421053
0.5,2.3,0.6505161290322581
0.5,2.4,0.6450027777777777
0.5,2.5,0.622388888888889
0.5,2.6,0.5725608695652172
0.5,2.7,0.593910344827586
0.5,2.8,0.5771416666666667
0.5,2.9,0.5439045454545455
0.5,3.0,0.48561153846153843
0.5,3.1,0.48838000000000004
0.5,3.2,0.515360606060606
0.5,3.3,0.46281875
0.5,3.4,0.4313966666666667
0.5,3.5,0.37967419354838705
0.5,3.6,0.3554463768115942
0.5,3.7,0.36066206896551734
0.5,3.8,0.3922237288135593
0.5,3.9,0.344092
0.5,4.0,0.3521618181818182
0.5,4.1,0.35156
0.5,4.2,0.3286472222222222
0.5,4.3,0.276012
0.5,4.4,0.3386555555555556
0.5,4.5,0.2051891304347826
0.5,4.6,0.31311866666666666
0.5,4.7,0.19681794871794875
0.5,4.8,0.2548764705882353
0.5,4.9,0.24031874999999997
0.5,5.0,0.25131758241758245
0.5,5.1,0.2226705882352941
0.5,5.2,0.19343695652173915
0.5,5.3,0.17546170212765957
0.5,5.4,0.16358461538461538
0.5,5.5,0.21331621621621624
0.5,5.6,0.16322187499999996
0.5,5.7,0.11705084745762713
0.5,5.8,0.1426814814814815
0.5,5.9,0.12018000000000001
0.5,6.0,0.16053529411764705
0.5,6.1,0.1725857142857143
0.5,6.2,0.11038545454545455
0.5,6.3,0.08376315789473683
0.5,6.4,0.08811694915254235
0.5,6.5,0.12698490566037737
0.5,6.6,0.0818811320754717
0.5,6.7,0.07652804878048779
0.5,6.8,0.07843225806451613
0.5,6.9,0.1089081632653061
0.5,7.0,0.1207111111111111
0.5,7.1,0.05757719298245614
0.5,7.2,0.054090909090909085
0.5,7.3,0.044781818181818187
0.5,7.4,0.06705471698113208
0.5,7.5,0.048332608695652174
0.5,7.6,0.04581162790697674
0.5,7.7,0.03712285714285715
0.5,7.8,0.027240350877192985
0.5,7.9,0.0320027027027027
0.5,8.0,0.02225
0.5,8.1,0.016170769230769228
0.5,8.2,0.025298181818181817
0.5,8.3,0.024156250000000004
0.5,8.4,0.013364864864864864
0.5,8.5,0.007228767123287672
0.5,8.6,0.01155945945945946
0.5,8.7,0.011414285714285712
0.5,8.8,0.013240677966101693
0.5,8.9,0.005135
0.5,9.0,0.011501785714285714
0.5,9.1,0.019399999999999997
0.5,9.2,0.015024615384615386
0.5,9.3,0.007421428571428571
0.5,9.4,0.004581081081081082
0.5,9.5,0.005880327868852458
0.5,9.6,0.002525773195876289
0.5,9.7,0.005482142857142857
0.5,9.8,0.004107608695652174
0.5,9.9,0.004353623188405796
0.5,10.0,0.0026119999999999997
0.6,0.1,1.0
0.6,0.2,1.0
0.6,0.3,1.0
0.6,0.4,0.9889
0.6,0.5,0.9857
0.6,0.6,1.0
0.6,0.7,1.0
0.6,0.8,0.972575
0.6,0.9,0.9565
0.6,1.0,0.9166000000000001
0.6,1.1,0.93108
0.6,1.2,0.90575
0.6,1.3,0.89322
0.6,1.4,0.8935545454545455
0.6,1.5,0.8439399999999999
0.6,1.6,0.8111857142857143
0.6,1.7,0.7998333333333334
0.6,1.8,0.7053636363636364
0.6,1.9,0.7425666666666666
0.6,2.0,0.7196551724137928
0.6,2.1,0.6942757575757578
0.6,2.2,0.634912
0.6,2.3,0.6514722222222222
0.6,2.4,0.5973499999999999
0.6,2.5,0.6014055555555555
0.6,2.6,0.60355
0.6,2.7,0.5606909090909091
0.6,2.8,0.57485
0.6,2.9,0.5175516129032257
0.6,3.0,0.49812413793103444
0.6,3.1,0.4955307692307693
0.6,3.2,0.4905139534883721
0.6,3.3,0.4975978260869566
0.6,3.4,0.4153108108108109
0.6,3.5,0.435296875
0.6,3.6,0.4071509803921568
0.6,3.7,0.4242785714285714
0.6,3.8,0.34975
0.6,3.9,0.4030837837837838
0.6,4.0,0.3301128205128205
0.6,4.1,0.30716388888888885
0.6,4.2,0.3345416666666667
0.6,4.3,0.34003333333333335
0.6,4.4,0.32807555555555556
0.6,4.5,0.2814632911392405
0.6,4.6,0.3055775510204082
0.6,4.7,0.28973260869565215
0.6,4.8,0.25104444444444446
0.6,4.9,0.18162499999999998
