"beta","epsilon","protected","low","high"
1.5,2,0.097272727272727,0.06,0.148586277830255
2,0.1,0,0,0
2,0.2,0,0,0
2,0.3,0.023222222222222,0.017111111111111,0.032555555555556
2,0.4,0.036625,0.0205,0.067875
2,0.5,0.028428571428572,0.019571428571429,0.054642857142857
2,0.6,0.03545,0.02655,0.050919873214042
2,0.7,0.043,0.031,0.058975290284564
2,0.8,0.075681818181818,0.046181818181818,0.131363636363636
2,0.9,0.088269230769231,0.061153846153846,0.134603930703081
2,1,0.11084375,0.0756875,0.15528125
2,1.1,0.15,0.102803234142019,0.212677524630902
2,1.2,0.145117647058824,0.101881627721966,0.197651984658982
2,1.3,0.13775,0.09534050738643,0.193266474478295
2,1.4,0.193533333333333,0.132226693647955,0.26418325871121
2,1.5,0.26437037037037,0.199156302559287,0.324562440398583
2,1.6,0.22875,0.160574985417991,0.298325856598603
2,1.7,0.32315,0.257085192984621,0.380678778224414
2,1.8,0.3205,0.246882352941176,0.384070416158767
2,1.9,0.353655172413793,0.279341528046856,0.416330962258246
2,2,0.397342857142857,0.325681975849405,0.45597636988423
2.5,0.1,0,0,0
2.5,0.2,0,0,0
2.5,0.3,0.029,0.018214285714286,0.062309981930996
2.5,0.4,0.047315789473684,0.031578947368421,0.071473684210526
2.5,0.5,0.092590909090909,0.061409090909091,0.138045454545455
2.5,0.6,0.116838709677419,0.077680220286563,0.162001675868819
2.5,0.7,0.161090909090909,0.098945366373574,0.234280961573806
2.5,0.8,0.121083333333333,0.068579332426889,0.198125
2.5,0.9,0.203023809523809,0.148103963033929,0.261421375955507
2.5,1,0.318314285714286,0.243825750754301,0.387285714285714
2.5,1.1,0.36854054054054,0.289486486486487,0.435972972972973
2.5,1.2,0.471564102564102,0.404100026259765,0.515410256410256
2.5,1.3,0.515916666666667,0.438091013085335,0.565682083732809
2.5,1.4,0.464055555555556,0.37262056806229,0.534861111111111
2.5,1.5,0.526688888888889,0.446304824656028,0.586953987194191
2.5,1.6,0.552021739130435,0.474,0.606337770922196
2.5,1.7,0.575027027027027,0.482594831024952,0.632156079220146
2.5,1.8,0.629448979591837,0.550755247373343,0.676199771387713
2.5,1.9,0.59766037735849,0.521738363218957,0.649939323057038
2.5,2,0.662153846153846,0.574841698673392,0.705051282051282
3,0.1,0,0,0
3,0.2,0,0,0
3,0.3,0.046545454545455,0.030681818181818,0.077912939798967
3,0.4,0.08,0.05275307618229,0.123638455422168
3,0.5,0.158,0.111892029740521,0.214961539150511
3,0.6,0.2288,0.162104928897666,0.30075899143027
3,0.7,0.241630434782609,0.177309206322053,0.311504417590082
3,0.8,0.406088235294118,0.313923474165253,0.485836683617887
3,0.9,0.447305555555556,0.358184345099662,0.521138888888889
3,1,0.567295454545455,0.487391642810265,0.616
3,1.1,0.540489795918367,0.457122448979592,0.603234190841538
3,1.2,0.566575,0.461789502417892,0.648381354290826
3,1.3,0.606625,0.513293425051532,0.670746289046853
3,1.4,0.691130434782609,0.606258590746641,0.738673913043478
3,1.5,0.665442307692308,0.574643733672669,0.729384615384616
3,1.6,0.737170731707317,0.641747081212055,0.780142275593826
3,1.7,0.78872,0.72204369068735,0.80742
3,1.8,0.8136875,0.804583333333333,0.82225
3,1.9,0.798981132075472,0.734690851960682,0.817471698113208
3,2,0.798259259259259,0.729673038627229,0.827185185185185
3.5,0.1,0,0,0
3.5,0.2,0,0,0
3.5,0.3,0.069642857142857,0.038642857142857,0.129610210528904
3.5,0.4,0.14125,0.09082751293484,0.211622618775991
3.5,0.5,0.264,0.191835165772609,0.337810810810811
3.5,0.6,0.372435897435897,0.289962047466919,0.444876717585687
3.5,0.7,0.472169811320755,0.391289611898172,0.542253180467558
3.5,0.8,0.563057142857143,0.458218894545112,0.632057142857143
3.5,0.9,0.6931,0.615041932234035,0.736619429854079
3.5,1,0.686456521739131,0.595512465926616,0.742628153428672
