beta_b,beta_w,botnet
0.4,3.8,0.4381458333333333
0.4,3.9,0.39022222222222225
0.4,4.0,0.4076868421052632
0.4,4.1,0.3999999999999999
0.4,4.2,0.4201848484848485
0.4,4.3,0.3836769230769231
0.4,4.4,0.3576142857142857
0.4,4.5,0.3537882352941176
0.4,4.6,0.3454318181818182
0.4,4.7,0.26242162162162164
0.4,4.8,0.3178523809523809
0.4,4.9,0.317425
0.4,5.0,0.2905951219512195
0.4,5.1,0.2759543859649123
0.4,5.2,0.276266
0.4,5.3,0.2700795918367347
0.4,5.4,0.22700597014925375
0.4,5.5,0.24955641025641023
0.4,5.6,0.23971754385964913
0.4,5.7,0.22828035714285713
0.4,5.8,0.22135625
0.4,5.9,0.19654153846153846
0.4,6.0,0.1782767857142857
0.4,6.1,0.1861897959183674
0.4,6.2,0.1861176470588235
0.4,6.3,0.14942999999999998
0.4,6.4,0.18024374999999998
0.4,6.5,0.14241315789473682
0.4,6.6,0.1247783783783784
0.4,6.7,0.1502183333333333
0.4,6.8,0.11283703703703704
0.4,6.9,0.1089081081081081
0.4,7.0,0.07171780821917806
0.4,7.1,0.12333015873015875
0.4,7.2,0.10995094339622644
0.4,7.3,0.0774790322580645
0.4,7.4,0.08303529411764707
0.4,7.5,0.0743920634920635
0.4,7.6,0.053551612903225805
0.4,7.7,0.07819999999999999
0.4,7.8,0.07382692307692308
0.4,7.9,0.06300714285714286
0.4,8.0,0.05360963855421687
0.4,8.1,0.04788548387096775
0.4,8.2,0.05438857142857144
0.4,8.3,0.029189610389610387
0.4,8.4,0.0395536231884058
0.4,8.5,0.0268027397260274
0.4,8.6,0.03161780821917808
0.4,8.7,0.013165
0.4,8.8,0.03855217391304348
0.4,8.9,0.02115588235294118
0.4,9.0,0.01701714285714286
0.4,9.1,0.009996341463414632
0.4,9.2,0.009334782608695654
0.4,9.3,0.009539743589743589
0.4,9.4,0.010277777777777778
0.4,9.5,0.0066207317073170725
0.4,9.6,0.007120512820512821
0.4,9.7,0.004818518518518518
0.4,9.8,0.004427906976744185
0.4,9.9,0.006573770491803277
0.4,10.0,0.0030260869565217393
0.5,0.1,1.0
0.5,0.2,1.0
0.5,0.3,1.0
0.5,0.4,1.0
0.5,0.5,1.0
0.5,0.6,1.0
0.5,0.7,1.0
0.5,0.8,1.0
0.5,0.9,1.0
0.5,1.0,1.0
0.5,1.1,1.0
0.5,1.2,1.0
0.5,1.3,1.0
0.5,1.4,1.0
0.5,1.5,1.0
0.5,1.6,1.0
0.5,1.7,1.0
0.5,1.8,0.9869
0.5,1.9,1.0
0.5,2.0,0.9672333333333333
0.5,2.1,0.9892
0.5,2.2,0.982325
0.5,2.3,0.9808666666666667
0.5,2.4,0.955775
0.5,2.5,0.9247333333333333
0.5,2.6,0.8914071428571428
0.5,2.7,0.8888214285714288
0.5,2.8,0.8587333333333335
0.5,2.9,0.78355
0.5,3.0,0.8071636363636365
0.5,3.1,0.66882
0.5,3.2,0.6023562499999999
0.5,3.3,0.6033000000000001
0.5,3.4,0.5839634146341464
0.5,3.5,0.580264
0.5,3.6,0.4807588235294117
0.5,3.7,0.49638125
0.5,3.8,0.4315279069767443
0.5,3.9,0.4342894736842105
0.5,4.0,0.39782631578947364
0.5,4.1,0.3943315789473684
0.5,4.2,0.3647250000000001
0.5,4.3,0.3486914285714286
0.5,4.4,0.33925384615384613
0.5,4.5,0.32145399999999996
0.5,4.6,0.3164026315789474
0.5,4.7,0.32206862745098036
0.5,4.8,0.29956
0.5,4.9,0.2696566666666666
0.5,5.0,0.2871971428571429
0.5,5.1,0.2688836363636363
0.5,5.2,0.2640835820895523
0.5,5.3,0.2586826086956522
0.5,5.4,0.2381258064516129
0.5,5.5,0.23842142857142856
0.5,5.6,0.2249265306122449
0.5,5.7,0.19665
0.5,5.8,0.20325588235294118
0.5,5.9,0.19627169811320755
0.5,6.0,0.20841702127659578
0.5,6.1,0.18854363636363636
0.5,6.2,0.1755727272727273
0.5,6.3,0.1785462686567164
0.5,6.4,0.16104107142857144
0.5,6.5,0.1664698113207547
0.5,6.6,0.15415090909090914
0.5,6.7,0.1391
0.5,6.8,0.11523698630136986
0.5,6.9,0.13546610169491524
0.5,7.0,0.12146721311475409
0.5,7.1,0.12682878787878787
0.5,7.2,0.1084842105263158
0.5,7.3,0.11835873015873016
0.5,7.4,0.09481250000000001
0.5,7.5,0.10576333333333335
0.5,7.6,0.05625000000000001
0.5,7.7,0.08884025974025975
0.5,7.8,0.08828823529411764
0.5,7.9,0.09285737704918035
0.5,8.0,0.06074864864864865
0.5,8.1,0.06097777777777777
0.5,8.2,0.05039870129870129
0.5,8.3,0.04109310344827585
0.5,8.4,0.04547413793103448
0.5,8.5,0.04894444444444445
0.5,8.6,0.04061375
0.5,8.7,0.039326562499999995
0.5,8.8,0.03771142857142858
0.5,8.9,0.025659722222222223
0.5,9.0,0.03047297297297297
0.5,9.1,0.02055
0.5,9.2,0.016849382716049383
0.5,9.3,0.0163
0.5,9.4,0.012773437499999998
0.5,9.5,0.013190277777777778
0.5,9.6,0.012534722222222221
0.5,9.7,0.008747368421052632
0.5,9.8,0.014168965517241379
0.5,9.9,0.005585507246376812
0.5,10.0,0.007293506493506495
0.6,0.1,1.0
0.6,0.2,1.0
0.6,0.3,1.0
0.6,0.4,1.0
0.6,0.5,1.0
0.6,0.6,1.0
0.6,0.7,1.0
0.6,0.8,1.0
0.6,0.9,1.0
0.6,1.0,1.0
0.6,1.1,1.0
0.6,1.2,1.0
0.6,1.3,1.0
0.6,1.4,1.0
0.6,1.5,1.0
0.6,1.6,1.0
0.6,1.7,1.0
0.6,1.8,1.0
0.6,1.9,0.98155
0.6,2.0,0.9891
0.6,2.1,0.9806250000000001
0.6,2.2,0.94445
0.6,2.3,0.9687333333333333
0.6,2.4,0.9734333333333334
0.6,2.5,0.9476400000000001
0.6,2.6,0.9508333333333333
0.6,2.7,0.9239200000000001
0.6,2.8,0.8887941176470588
0.6,2.9,0.8674272727272728
0.6,3.0,0.8274782608695652
0.6,3.1,0.7508083333333334
0.6,3.2,0.7651956521739132
0.6,3.3,0.655828125
0.6,3.4,0.5889833333333333
