beta,epsilon,gamma,protected,self,forced
2.0,0.19116440753857022,1.0,0.0003944308574925855,0.00024717902552251947,0.00014725183197020347
2.0,0.19563983435170637,1.0,0.0003971798273446243,0.0002485529662083071,0.00014862686113662434
2.0,0.20022003718155845,1.0,0.0004000249652974397,0.000249974967924921,0.00015004999737247465
2.0,0.2049074689815847,1.0,0.0004029706044534529,0.00025144719594897576,0.00015152340850453313
2.0,0.2097046401323233,1.0,0.000406021333690572,0.0002529719433472034,0.00015304939034310196
2.0,0.2146141197858404,1.0,0.00040918201681326114,0.00025455164053894306,0.00015463037627441205
2.0,0.21963853724165458,1.0,0.00041245781348754997,0.0002561888657555678,0.0001562689477322039
2.0,0.22478058335487253,1.0,0.0004158542022274516,0.00025788635656064356,0.00015796784566698003
2.0,0.2300430119772918,1.0,0.00041937700531555905,0.0002596470222630814,0.00015972998305228994
2.0,0.2354286414322418,1.0,0.0004230324162359109,0.00026147395762282557,0.00016155845861310917
2.0,0.2409403560239525,1.0,0.0004268270298575731,0.00026337045795249425,0.00016345657190541173
2.0,0.24658110758226032,1.0,0.00043076787538360076,0.00026534003553545146,0.00016542783984831578
2.0,0.2523539170434766,1.0,0.0004348624530176219,0.00026738643801934886,0.00016747601499847404
2.0,0.2582618760682676,1.0,0.00043911876911607015,0.0002695136644966814,0.000169605104619142
2.0,0.26430814869741054,1.0,0.0004435453982939206,0.00027172600180423213,0.00017181939648977892
2.0,0.2704959730463135,1.0,0.0004481515075125595,0.0002740280291308384,0.00017412347838170246
2.0,0.2768286630392066,1.0,0.00045294692594257703,0.00027642465755936877,0.00017652226838328345
2.0,0.2833096101839324,1.0,0.00045794220166302,0.00027892115731156255,0.00017902104435100414
2.0,0.28994228538828765,1.0,0.00046314866913126356,0.00028152319157591474,0.0001816254775553891
2.0,0.29673024081888694,1.0,0.0004685785230220787,0.00028423685314019477,0.0001843416698819035
2.0,0.30367711180354584,1.0,0.0004742449022026787,0.0002870687065179946,0.00018717619568497698
2.0,0.3107866187782013,1.0,0.0004801619827364528,0.0002900258343267351,0.00019013614840980312
2.0,0.3180625692794119,1.0,0.0004863450821601823,0.0002931158893098596,0.00019322919285051627
2.0,0.3255088599835058,1.0,0.0004928107772345826,0.0002963471532274884,0.00019646362400660503
2.0,0.3331294787934673,1.0,0.0004995770372256054,0.0002997286036969702,0.00019984843352881864
2.0,0.3409285069746812,1.0,0.0005066633710505352,0.0003032699871285562,0.00020339338392198105
2.0,0.3489101213406773,1.0,0.0005140909964824662,0.0003069819033371845,0.00020710909314465987
2.0,0.35707859649004636,1.0,0.0005218830341821442,0.0003108759030414067,0.00021100713114066824
2.0,0.3654383070957256,1.0,0.0005300647226468099,0.0003149645944543889,0.00021510012819251555
2.0,0.3739937302478798,1.0,0.0005386636683273279,0.0003192617685730326,0.0002194018997541819
2.0,0.38274944785163123,1.0,0.0005477101273215879,0.00032378253921387933,0.00022392758810774023
2.0,0.39171014908092594,1.0,0.0005572373413512083,0.00032854351291820345,0.0002286938284321001
2.0,0.40088063288984654,1.0,0.0005672818994507142,0.0003335629663797922,0.00023371893307097606
2.0,0.41026581058271927,1.0,0.0005778841815719814,0.00033886107000902075,0.00023902311156273113
2.0,0.419870708444391,1.0,0.0005890888632074623,0.00034446014013719795,0.0002446287230702873
2.0,0.42970047043208404,1.0,0.0006009454906479736,0.000350384923980966,0.00025056056666698833
2.0,0.439760360930272,1.0,0.0006135091793306112,0.00035666295118615615,0.0002568462281441495
2.0,0.4500557675700499,1.0,0.0006268414038697729,0.00036332492560125953,0.0002635164782687513
2.0,0.4605922041145106,1.0,0.0006410109347666105,0.00037040519128821707,0.00027060574347828175
2.0,0.4713753134116724,1.0,0.0006560950966129239,0.00037794238597289534,0.0002781527106398091
2.0,0.482410870416537,1.0,0.0006721807544208216,0.0003859798695755581,0.00028620088484521166
2.0,0.49370478528390027,1.0,0.0006893663067071995,0.0003945667929251662,0.00029479951378269845
2.0,0.5052631065335681,1.0,0.0007077633600349172,0.0004037588893242717,0.0003040044707106013
2.0,0.5170920242896758,1.0,0.0007274991120207237,0.0004136196763032112,0.0003138794357176386
2.0,0.5291978735958442,1.0,0.0007487192062421702,0.00042422188615606223,0.00032449732008621364
2.0,0.5415871378079472,1.0,0.0007715910618876821,0.00043564910833156375,0.00033594195355562045
2.0,0.5542664520663105,1.0,0.0007963083324791055,0.0004479980453504697,0.00034831028712904364
2.0,0.5672426068491979,1.0,0.000823095991727939,0.00046138101948463766,0.00036171497224325857
2.0,0.5805225516094898,1.0,0.0008522170999456412,0.0004759293685365478,0.0003762877314092244
2.0,0.5941133984965034,1.0,0.000883981106636587,0.0004917975768696813,0.0003921835297670081
2.0,0.6080224261649424,1.0,0.0009187259546439154,0.0005091520278346385,0.00040957392680209155
2.0,0.622257083673023,1.0,0.0009569748497159779,0.0005282608153428896,0.0004287140343737443
2.0,0.6368249944718588,1.0,0.0009991685719358133,0.0005493370244033834,0.0004498315475324525
2.0,0.6517339604882424,1.0,0.0010459745925912145,0.0005727160760876538,0.00047325851650360334
2.0,0.6669919663030122,1.0,0.0010981763522385636,0.0005987889398488715,0.0004993874123903114
2.0,0.6826071834272389,1.0,0.0011567448450229018,0.0006280401364216755,0.0005287047086011716
2.0,0.6985879746785247,1.0,0.0012228978560853286,0.0006610772434545751,0.0005618206126301897
2.0,0.7149428986597579,1.0,0.0012981837289804165,0.0006986726671158451,0.000599511061864117
2.0,0.7316807143427196,1.0,0.0013846004637894462,0.0007418229513899343,0.0006427775123975359
2.0,0.7488103857590023,1.0,0.0014847752120564519,0.0007918383967392082,0.0006929368153181264
2.0,0.7663410868007459,1.0,0.0016022209161217467,0.000850470459748411,0.0007517504563736209
2.0,0.784282206133768,1.0,0.00174175455721424,0.0009201204532450911,0.0008216341039714773
2.0,0.8026433522257176,1.0,0.0019101480557444114,0.0010041631659378466,0.0009059848898071618
2.0,0.8214343584919426,1.0,0.002117227945976395,0.001107494172509303,0.0010097337734634633
2.0,0.8406652885618325,1.0,0.0023777879958958386,0.0012374808243438432,0.0011403071715572102
2.0,0.8603464416684504,1.0,0.0027151083164481597,0.0014057103813976883,0.0013093979350488148
2.0,0.8804883581643462,1.0,0.003167911480172311,0.0016314439991839166,0.0015364674809890515
2.0,0.9011018251665021,1.0,0.003805134061027829,0.001948940393595716,0.0018561936674317081
2.0,0.9221978823334327,1.0,0.004760527991150937,0.0024245828280587906,0.002335945163092522
2.0,0.9437878277775381,1.0,0.006322089028722254,0.0032010124455095924,0.0031210765832178767
2.0,0.9658832241158704,1.0,0.009180775062279977,0.004619183362194375,0.0045615917000811895
2.0,0.9884959046625583,1.0,0.015007849172658516,0.007497048062194216,0.007510801110462552
2.0,1.011637979766207,1.0,0.02627903405187199,0.013013790169040891,0.013265243882827328
2.0,1.0353218432956621,1.0,0.042730279428221114,0.020945227706617196,0.02178505172160263
2.0,1.059560179277616,1.0,0.06158738955898739,0.029854621477795374,0.031732768081186725
2.0,1.0843659686896103,1.0,0.08111152408140282,0.03886626691298085,0.042245257168418926
2.0,1.1097524964120722,1.0,0.10061269200630302,0.047641935334378466,0.052970756671921505
2.0,1.135733358343105,1.0,0.11981688893494509,0.05605423005542958,0.06376265887952269
2.0,1.1623224686798523,1.0,0.13860824945781525,0.06405531619989678,0.07455293325791684
2.0,1.1895340673703196,1.0,0.1569344730437007,0.07162915406567466,0.08530531897802457
2.0,1.2173827277396614,1.0,0.1747765934417878,0.07877602330466356,0.09600057013712682
2.0,1.2458833642950082,1.0,0.1921268152130773,0.08550168644823257,0.10662512876484556
2.0,1.2750512407130135,1.0,0.20898935948340613,0.09181743063419745,0.11717192884921054
